	geneID	loci	strand	geneName	geneClass	geneCategory	DHS_type	geneType	exonLen_bin	splicingType	TIEScore_tier	total_clstrCount	num_transcript	coding_status	directionality	cumulative_support	support_source_num	DPI	sum_spIndx	max_genomicLen	max_exonLen	TE_LINE_associated	TE_SINE_associated	TE_DNA_associated	TE_LTR_associated	annoComment	promoter name	max expression (TPM)	median expression (TPM)	5th	25th	75th	95th	kurtosis	skew	TATA	CpG	Gene Symbol	chrom
1705	ENSG00000114030.8	chr3:122138780-122233784,-	-	KPNA1	coding_mRNA	coding_mRNA	DHS_promoter	protein_coding	bin5:>2000nt	type4:at_least_4_exons	tier4_stringent	355604	18	coding	0.98713	ENCODE:FANTOM:GENCODE:HUBDMAP:MITRANS	5	chr3:122233723..122233797,-	15.2200936392365	95005	19922	no	no	no	no	annotation imputed from GENCODE geneType protein_coding	p1@KPNA1	506,9	58,6	31,7	46,5	75,7	117,96	38,59421337	4,102851365	TATA-less	CpG	KPNA1	chr3
1706	ENSG00000114054.9	chr3:135969194-136143527,+	+	PCCB	coding_mRNA	coding_mRNA	DHS_promoter	protein_coding	bin5:>2000nt	type4:at_least_4_exons	tier4_stringent	173971	24	coding	0.9980100000000001	ENCODE:FANTOM:GENCODE:HUBDMAP:MITRANS	5	chr3:135969172..135969219,+	16.4091593805239	174334	6096	no	no	no	no	annotation imputed from GENCODE geneType protein_coding	p1@PCCB	168,6	25,3	6,64	16,7	37,4	59,12	6,528505049	1,753152432	TATA-less	CpG	PCCB	chr3
1707	ENSG00000114062.13	chr15:25557162-25684135,-	-	UBE3A	coding_mRNA	coding_mRNA	DHS_promoter	protein_coding	bin5:>2000nt	type4:at_least_4_exons	tier4_stringent	241344	22	coding	0.96824	ENCODE:FANTOM:GENCODE:MITRANS	4	chr15:25684110..25684212,-	16.2236875786113	115587	31143	no	no	no	no	annotation imputed from GENCODE geneType protein_coding	p1@UBE3A	120,5	39,1	16,84	30,3	50,1	72,12	1,889973989	0,96389578	TATA-less	CpG	UBE3A	chr15
1708	ENSG00000114098.13	chr3:137906143-138017668,+	+	ARMC8	coding_mRNA	coding_mRNA	DHS_promoter	protein_coding	bin5:>2000nt	type4:at_least_4_exons	tier4_stringent	190025	74	coding	0.99697	FANTOM:GENCODE:HUBDMAP	3	chr3:137906353..137906402,+	26.595972293385202	111089	6048	no	no	no	no	annotation imputed from GENCODE geneType protein_coding	p1@ARMC8	117,5	18,9	5,18	12,8	27,4	46,6	4,694678235	1,431475599	TATA-less	CpG	ARMC8	chr3
1709	ENSG00000114107.4	chr3:138207422-138313685,-	-	CEP70	coding_mRNA	coding_mRNA	DHS_promoter	protein_coding	bin5:>2000nt	type4:at_least_4_exons	tier4_stringent	63891	30	coding	0.95365	FANTOM:GENCODE:HUBDMAP:MITRANS	4	chr3:138313057..138313132,-	21.3782943181483	106264	10674	no	no	no	no	annotation imputed from GENCODE geneType protein_coding	p1@CEP70	70,6	8,9	0,3	4,1	15,7	27,46	4,320776861	1,635973158	TATA-less	CpG	CEP70	chr3
1710	ENSG00000114120.7	chr3:140660685-140699851,+	+	SLC25A36	coding_mRNA	coding_mRNA	DHS_promoter	protein_coding	bin5:>2000nt	type4:at_least_4_exons	tier4_stringent	188308	32	coding	0.9877799999999999	ENCODE:FANTOM:GENCODE:HUBDMAP:MITRANS	5	chr3:140660634..140660720,+	7.60294774828132	39167	10316	no	no	no	no	annotation imputed from GENCODE geneType protein_coding	p1@SLC25A36	152,6	30,1	9,6	19,8	44,3	75,2	2,664821898	1,318225973	TATA-less	CpG	SLC25A36	chr3
1711	ENSG00000114125.9	chr3:141457036-141476152,+	+	RNF7	coding_mRNA	coding_mRNA	DHS_promoter	protein_coding	bin5:>2000nt	type4:at_least_4_exons	tier4_stringent	450789	14	coding	0.99679	ENCODE:FANTOM:GENCODE:HUBDMAP	4	chr3:141457105..141457189,+	3.3603643556678904	19085	12340	no	no	no	no	annotation imputed from GENCODE geneType protein_coding	p1@RNF7	250,2	64,8	29,9	47,9	83,5	110,38	3,180985682	0,985927656	TATA-less	CpG	RNF7	chr3
1712	ENSG00000114127.6	chr3:142012920-142166879,-	-	XRN1	coding_mRNA	coding_mRNA	DHS_promoter	protein_coding	bin5:>2000nt	type4:at_least_4_exons	tier4_stringent	123670	61	coding	0.9730700000000001	ENCODE:FANTOM:GENCODE:HUBDMAP	4	chr3:142166870..142166889,-	40.6435058046979	141644	22490	no	no	no	no	annotation imputed from GENCODE geneType protein_coding	p1@XRN1	51,8	7,1	1,54	4,5	11,1	20,22	8,862914961	2,378564833	TATA-less	CpG	XRN1	chr3
1713	ENSG00000114209.10	chr3:167381843-167453416,-	-	PDCD10	coding_mRNA	coding_mRNA	DHS_promoter	protein_coding	bin5:>2000nt	type4:at_least_4_exons	tier4_stringent	243131	26	coding	0.94216	ENCODE:FANTOM:GENCODE:HUBDMAP	4	chr3:167452633..167452697,-	10.6764765526641	71574	21412	no	no	no	no	annotation imputed from GENCODE geneType protein_coding	p1@PDCD10	224,1	42	12,6	29,7	56,6	82,82	8,836018448	1,838775839	TATA-less	CpG	PDCD10	chr3
1714	ENSG00000114302.11	chr3:48774253-48885237,-	-	PRKAR2A	coding_mRNA	coding_mRNA	DHS_promoter	protein_coding	bin5:>2000nt	type4:at_least_4_exons	tier4_stringent	148962	14	coding	0.9544600000000001	ENCODE:FANTOM:GENCODE:HUBDMAP	4	chr3:48885228..48885327,-	12.4758938054444	101226	15437	no	no	no	no	annotation imputed from GENCODE geneType protein_coding	p1@PRKAR2A	123,8	24,5	11,18	18,7	32,2	43,36	8,909595225	1,529220326	TATA-less	CpG	PRKAR2A	chr3
1715	ENSG00000114353.12	chr3:50263724-50325236,+	+	GNAI2	coding_mRNA	coding_mRNA	DHS_promoter	protein_coding	bin5:>2000nt	type4:at_least_4_exons	tier4_stringent	2207574	28	coding	0.99985	ENCODE:FANTOM:GENCODE:HUBDMAP:MITRANS	5	chr3:50273625..50273655,+	26.019907895646302	61513	15814	no	no	no	no	annotation imputed from GENCODE geneType protein_coding	p1@GNAI2	2509,1	322,4	73,32	204,5	494,4	978,76	12,18088351	2,705271817	TATA-less	CpG	GNAI2	chr3
1716	ENSG00000114354.8	chr3:100428178-100530827,+	+	TFG	coding_mRNA	coding_mRNA	DHS_promoter	protein_coding	bin5:>2000nt	type4:at_least_4_exons	tier4_stringent	584318	42	coding	0.98956	ENCODE:FANTOM:GENCODE:HUBDMAP:MITRANS	5	chr3:100428317..100428471,+	8.33086688456753	65024	7315	no	no	no	no	annotation imputed from GENCODE geneType protein_coding	p1@TFG	378,9	88,5	28,24	59	115,7	153,5	3,554610367	0,904015575	TATA-less	CpG	TFG	chr3
1717	ENSG00000114383.5	chr3:50350489-50374826,-	-	TUSC2	coding_mRNA	coding_mRNA	DHS_promoter	protein_coding	bin5:>2000nt	type4:at_least_4_exons	tier4_stringent	189789	9	coding	0.9751	ENCODE:FANTOM:GENCODE:HUBDMAP	4	chr3:50365607..50365676,-	6.17175757026297	24338	11573	no	no	no	no	annotation imputed from GENCODE geneType protein_coding	p1@TUSC2	169,6	21,4	9,54	15,9	28,9	49,98	16,85931172	2,648976753	TATA-less	CpG	TUSC2	chr3
1718	ENSG00000114388.8	chr3:50384430-50388203,-	-	NPRL2	coding_mRNA	__na	DHS_dyadic	protein_coding	bin5:>2000nt	type4:at_least_4_exons	tier4_stringent	104790	22	coding	0.2763	FANTOM:GENCODE	2	chr3:50388141..50388245,-	9.832115009050039	3774	3286	no	no	no	no	annotation imputed from GENCODE geneType protein_coding	p1@NPRL2	87,4	16,8	7,24	13,3	22,9	33,06	5,802511594	1,259442772	TATA-less	CpG	NPRL2	chr3
1719	ENSG00000114391.8	chr3:101397498-101443757,-	-	RPL24	coding_mRNA	coding_mRNA	DHS_promoter	protein_coding	bin5:>2000nt	type4:at_least_4_exons	tier4_stringent	940190	13	uncertain	0.9671	ENCODE:FANTOM:GENCODE:HUBDMAP	4	chr3:101405543..101405569,-	5.173318698672981	44475	4497	no	no	no	no	annotation imputed from GENCODE geneType protein_coding	p1@RPL24	676,2	143,9	48,86	91,3	202,7	309,54	4,006438132	1,439928687	TATA-less	CpG	RPL24	chr3
1720	ENSG00000114416.13	chr3:180585970-180706140,+	+	FXR1	coding_mRNA	coding_mRNA	DHS_promoter	protein_coding	bin5:>2000nt	type4:at_least_4_exons	tier4_stringent	711067	62	coding	0.9974299999999999	FANTOM:GENCODE:HUBDMAP:MITRANS	4	chr3:180630444..180630471,+	18.471544948014103	81145	13729	no	no	no	no	annotation imputed from GENCODE geneType protein_coding	p1@FXR1	705,7	107	33,7	79,7	144,7	213,1	14,89396255	2,547722493	TATA-less	CpG	FXR1	chr3
1721	ENSG00000114439.14	chr3:107241816-107539542,+	+	BBX	coding_mRNA	coding_mRNA	DHS_promoter	protein_coding	bin5:>2000nt	type4:at_least_4_exons	tier4_stringent	142121	75	coding	0.9963799999999999	ENCODE:FANTOM:GENCODE:HUBDMAP:MITRANS	5	chr3:107241792..107241845,+	21.079792375161396	288540	15676	no	no	no	no	annotation imputed from GENCODE geneType protein_coding	p1@BBX	99	19,8	5,14	12,3	28,2	51,46	3,657981205	1,575968924	TATA	CpG-less	BBX	chr3
1722	ENSG00000114446.4	chr3:107879622-107941256,-	-	IFT57	coding_mRNA	coding_mRNA	DHS_promoter	protein_coding	bin5:>2000nt	type4:at_least_4_exons	tier4_stringent	220762	11	coding	0.9595600000000001	ENCODE:FANTOM:GENCODE:HUBDMAP:MITRANS	5	chr3:107941230..107941308,-	10.4811447118119	61635	3042	no	no	no	no	annotation imputed from GENCODE geneType protein_coding	p1@IFT57	169,1	36,8	8,7	22,6	52,5	78,2	3,777757063	1,466227787	TATA-less	CpG	IFT57	chr3
1723	ENSG00000114491.9	chr3:124449300-124468301,+	+	UMPS	coding_mRNA	coding_mRNA	DHS_promoter	protein_coding	bin5:>2000nt	type4:at_least_4_exons	tier4_stringent	127227	14	coding	0.9446700000000001	FANTOM:GENCODE:MITRANS	3	chr3:124449275..124449313,+	6.718166424507481	19002	6070	no	no	no	no	annotation imputed from GENCODE geneType protein_coding	p1@UMPS	77,7	17,2	5,34	11,5	25,7	43,86	1,27716634	1,104496587	TATA-less	CpG	UMPS	chr3
1724	ENSG00000114503.6	chr3:196646691-196670883,-	-	NCBP2	coding_mRNA	coding_mRNA	DHS_promoter	protein_coding	bin5:>2000nt	type4:at_least_4_exons	tier4_stringent	307895	21	coding	0.47752	ENCODE:FANTOM:GENCODE:HUBDMAP:MITRANS	5	chr3:196669371..196669455,-	4.29273602845495	24193	8433	no	no	no	no	annotation imputed from GENCODE geneType protein_coding	p1@NCBP2	404,8	51,7	22,44	36,3	67,9	100,06	35,85558915	4,321927061	TATA-less	CpG	NCBP2	chr3
1725	ENSG00000114520.6	chr3:125165278-125239046,-	-	SNX4	coding_mRNA	coding_mRNA	DHS_promoter	protein_coding	bin5:>2000nt	type4:at_least_4_exons	tier4_stringent	276028	19	coding	0.98435	FANTOM:GENCODE:HUBDMAP	3	chr3:125239010..125239055,-	14.772464197565	73769	2536	no	no	no	no	annotation imputed from GENCODE geneType protein_coding	p1@SNX4	186,7	37,3	12,88	27,7	48	78,08	8,671078083	2,131094526	TATA-less	CpG	SNX4	chr3
1726	ENSG00000114544.11	chr3:125645526-125820398,-	-	SLC41A3	coding_mRNA	coding_mRNA	DHS_promoter	protein_coding	bin5:>2000nt	type4:at_least_4_exons	tier4_stringent	66447	43	coding	0.82416	ENCODE:FANTOM:GENCODE:HUBDMAP:MITRANS	5	chr3:125802959..125802990,-	18.064515621924	157642	21614	no	no	no	no	annotation imputed from GENCODE geneType protein_coding	p1@SLC41A3	57,6	7,1	2,14	4,6	10,8	19,1	10,6778498	2,249397415	TATA-less	CpG	SLC41A3	chr3
1727	ENSG00000114554.7	chr3:126701170-126758035,+	+	PLXNA1	coding_mRNA	coding_mRNA	DHS_promoter	protein_coding	bin5:>2000nt	type4:at_least_4_exons	tier4_stringent	133352	34	coding	0.99139	ENCODE:FANTOM:GENCODE:HUBDMAP	4	chr3:126701878..126701967,+	29.539683958622103	52953	10647	no	no	no	no	annotation imputed from GENCODE geneType protein_coding	p@chr3:126701878..126701967,+	136,8	15,5	0,9	7,3	26,6	52,06	7,065961795	2,064306737	TATA-less	CpG	chr3:126701878..126701967,+	chr3
1728	ENSG00000114648.7	chr3:47323284-47394435,+	+	KLHL18	coding_mRNA	coding_mRNA	DHS_promoter	protein_coding	bin5:>2000nt	type4:at_least_4_exons	tier4_stringent	38515	17	coding	0.15275999999999998	ENCODE:FANTOM:GENCODE:HUBDMAP:MITRANS	5	chr3:47324424..47324447,+	10.803261709251599	71152	14507	no	no	no	no	annotation imputed from GENCODE geneType protein_coding	p1@KLHL18	26,8	4,6	1,7	3,1	6,4	10,52	6,42681286	1,860371607	TATA-less	CpG	KLHL18	chr3
1729	ENSG00000114650.14	chr3:47450099-47518616,-	-	SCAP	coding_mRNA	coding_mRNA	DHS_promoter	protein_coding	bin5:>2000nt	type4:at_least_4_exons	tier4_stringent	133918	49	coding	0.9593299999999999	FANTOM:GENCODE:HUBDMAP:MITRANS	4	chr3:47517302..47517451,-	25.5182826015985	65372	6668	no	no	no	no	annotation imputed from GENCODE geneType protein_coding	p1@SCAP	121,6	19	7,94	14,8	25,8	39,86	11,19131393	1,993827807	TATA-less	CpG	SCAP	chr3
1730	ENSG00000114686.4	chr3:131167261-131221815,-	-	MRPL3	coding_mRNA	coding_mRNA	DHS_promoter	protein_coding	bin5:>2000nt	type4:at_least_4_exons	tier4_stringent	379951	16	coding	0.9924799999999999	ENCODE:FANTOM:GENCODE	3	chr3:131221790..131221835,-	9.98719649738751	54555	21604	no	no	no	no	annotation imputed from GENCODE geneType protein_coding	p1@MRPL3	530,6	54,2	15,34	38,5	76	116,44	42,36806409	3,597967091	TATA-less	CpG	MRPL3	chr3
1731	ENSG00000114735.5	chr3:50605299-50634111,+	+	HEMK1	coding_mRNA	coding_mRNA	DHS_promoter	protein_coding	bin5:>2000nt	type4:at_least_4_exons	tier4_stringent	46662	25	coding	0.9484299999999999	ENCODE:FANTOM:GENCODE:MITRANS	4	chr3:50606901..50606967,+	12.079051707646402	27501	18775	no	no	no	no	annotation imputed from GENCODE geneType protein_coding	p1@HEMK1	30	6,5	1,04	4,1	9,2	15,96	2,639940711	1,248212076	TATA-less	CpG	HEMK1	chr3
1732	ENSG00000114738.6	chr3:50648255-50700933,+	+	MAPKAPK3	coding_mRNA	coding_mRNA	DHS_promoter	protein_coding	bin5:>2000nt	type4:at_least_4_exons	tier4_stringent	282461	23	coding	0.9915700000000001	ENCODE:FANTOM:GENCODE:HUBDMAP	4	chr3:50654550..50654617,+	14.2796199330332	51175	17272	no	no	no	no	annotation imputed from GENCODE geneType protein_coding	p1@MAPKAPK3	308,6	31,1	9,74	19,1	56,3	145,62	5,245646823	2,144881726	TATA-less	CpG	MAPKAPK3	chr3
1733	ENSG00000114742.9	chr3:39093507-39142535,+	+	WDR48	coding_mRNA	coding_mRNA	DHS_promoter	protein_coding	bin5:>2000nt	type4:at_least_4_exons	tier4_stringent	175907	36	coding	0.9489200000000001	ENCODE:FANTOM:GENCODE	3	chr3:39093481..39093520,+	18.391295707670103	44649	6270	no	no	no	no	annotation imputed from GENCODE geneType protein_coding	p1@WDR48	155,1	25,7	6,3	17	39,2	65,2	6,485589503	1,940570165	TATA-less	CpG	WDR48	chr3
1734	ENSG00000114744.4	chr3:149446949-149470276,-	-	COMMD2	coding_mRNA	coding_mRNA	DHS_promoter	protein_coding	bin5:>2000nt	type4:at_least_4_exons	tier4_stringent	110719	13	coding	0.9942	ENCODE:FANTOM:GENCODE:HUBDMAP	4	chr3:149470229..149470290,-	5.44904864165833	21621	12662	no	no	no	no	annotation imputed from GENCODE geneType protein_coding	p1@COMMD2	126,4	19,2	8,64	13,8	25,8	36,8	16,69252234	2,44057733	TATA-less	CpG	COMMD2	chr3
1735	ENSG00000114745.9	chr3:38960453-39149863,-	-	GORASP1	coding_mRNA	coding_mRNA	DHS_promoter	protein_coding	bin5:>2000nt	type4:at_least_4_exons	tier4_stringent	85379	38	coding	0.60534	ENCODE:FANTOM:GENCODE:HUBDMAP:MITRANS	5	chr3:39149082..39149146,-	7.75733636167689	183783	6838	no	no	no	no	annotation imputed from GENCODE geneType protein_coding	p1@GORASP1	39,3	12,5	5,94	9,5	16,3	23,34	1,834504552	0,991636571	TATA-less	CpG	GORASP1	chr3
1736	ENSG00000114767.6	chr3:51960664-51977559,-	-	RRP9	coding_mRNA	coding_mRNA	DHS_promoter	protein_coding	bin5:>2000nt	type4:at_least_4_exons	tier4_stringent	102336	9	coding	0.9895200000000001	ENCODE:FANTOM:GENCODE:HUBDMAP:MITRANS	5	chr3:51975889..51975936,-	13.9687765686154	16455	7049	no	no	no	no	annotation imputed from GENCODE geneType protein_coding	p1@RRP9	99,8	14,3	3,44	9,4	23	42,66	6,268282349	1,959896796	TATA-less	CpG	RRP9	chr3
1737	ENSG00000114850.2	chr3:156197453-156332815,-	-	SSR3	coding_mRNA	coding_mRNA	DHS_promoter	protein_coding	bin5:>2000nt	type4:at_least_4_exons	tier4_stringent	1835286	17	coding	0.9989600000000001	ENCODE:FANTOM:GENCODE:HUBDMAP:MITRANS	5	chr3:156272872..156272923,-	6.050724575459371	91656	20591	no	no	no	no	annotation imputed from GENCODE geneType protein_coding	p1@SSR3	1692,7	213,2	71,36	131,4	420,7	748,74	2,980270255	1,504682408	TATA-less	CpG	SSR3	chr3
1738	ENSG00000114857.13	chr3:42641976-42692826,+	+	NKTR	coding_mRNA	coding_mRNA	DHS_promoter	protein_coding	bin5:>2000nt	type4:at_least_4_exons	tier4_stringent	128907	65	coding	0.9276399999999999	ENCODE:FANTOM:GENCODE:HUBDMAP	4	chr3:42642138..42642200,+	15.507359135594001	48605	15831	no	no	no	no	annotation imputed from GENCODE geneType protein_coding	p1@NKTR	101,1	14,1	4,14	8,7	25,3	57,24	3,150834063	1,755291805	TATA-less	CpG	NKTR	chr3
1739	ENSG00000114867.15	chr3:184032394-184070702,+	+	EIF4G1	coding_mRNA	coding_mRNA	DHS_promoter	protein_coding	bin5:>2000nt	type4:at_least_4_exons	tier4_stringent	877025	60	coding	0.9984	FANTOM:GENCODE:HUBDMAP	3	chr3:184032313..184032416,+	35.330018447849206	23976	7261	no	no	no	no	annotation imputed from GENCODE geneType protein_coding	p1@EIF4G1	415,2	100,2	36,72	71	135	222,12	2,718555256	1,321090985	TATA-less	CpG	EIF4G1	chr3
1740	ENSG00000114902.9	chr3:52739074-52746210,+	+	SPCS1	coding_mRNA	coding_mRNA	DHS_promoter	protein_coding	bin5:>2000nt	type4:at_least_4_exons	tier4_stringent	1102116	9	uncertain	0.8444	ENCODE:FANTOM:GENCODE:HUBDMAP	4	chr3:52740108..52740179,+	3.31410204246625	6077	4791	no	no	no	no	annotation imputed from GENCODE geneType protein_coding	p1@SPCS1	1011,3	181,1	86,44	137,4	228,3	311,6	16,84338171	2,239458484	TATA-less	CpG	SPCS1	chr3
1741	ENSG00000114904.8	chr3:52742468-52804956,-	-	NEK4	coding_mRNA	coding_mRNA	DHS_promoter	protein_coding	bin5:>2000nt	type4:at_least_4_exons	tier4_stringent	84285	19	coding	0.89244	ENCODE:FANTOM:GENCODE:HUBDMAP	4	chr3:52804928..52804967,-	17.616039723020602	62489	5956	no	no	no	no	annotation imputed from GENCODE geneType protein_coding	p1@NEK4	102,9	12,4	5,3	8,8	18,7	30,48	14,41636456	2,392678074	TATA-less	CpG	NEK4	chr3
1742	ENSG00000114942.9	chr2:207024349-207027713,+	+	EEF1B2	coding_mRNA	coding_mRNA	DHS_promoter	protein_coding	bin4:1000-2000nt	type4:at_least_4_exons	tier4_stringent	1680841	12	coding	0.9976299999999999	FANTOM:GENCODE:HUBDMAP:MITRANS	4	chr2:207024612..207024634,+	5.5917894069277	3304	1078	no	no	no	no	annotation imputed from GENCODE geneType protein_coding	p1@EEF1B2	1678,8	221,7	61,12	143,2	318,9	578,34	13,0872981	3,037499563	TATA	CpG	EEF1B2	chr2
1743	ENSG00000114956.15	chr2:74152338-74233159,+	+	DGUOK	coding_mRNA	coding_mRNA	DHS_promoter	protein_coding	bin5:>2000nt	type4:at_least_4_exons	tier4_stringent	443993	19	coding	0.9954799999999999	ENCODE:FANTOM:GENCODE:HUBDMAP:MITRANS	5	chr2:74153986..74154029,+	9.91151224959764	79153	27317	no	no	no	no	annotation imputed from GENCODE geneType protein_coding	p1@DGUOK	220,2	63,3	34,64	48,6	79,8	114,1	2,868848739	1,199474726	TATA-less	CpG	DGUOK	chr2
1744	ENSG00000114978.13	chr2:74379655-74406006,-	-	MOB1A	coding_mRNA	coding_mRNA	DHS_promoter	protein_coding	bin5:>2000nt	type4:at_least_4_exons	tier4_stringent	537957	6	coding	0.98518	FANTOM:GENCODE:MITRANS	3	chr2:74405929..74406028,-	7.33896150534192	26352	4896	no	no	no	no	annotation imputed from GENCODE geneType protein_coding	p1@MOB1A	599,2	84,4	34,76	60,8	119,4	264,02	5,812214428	2,116923319	TATA-less	CpG	MOB1A	chr2
1745	ENSG00000114982.13	chr2:97249144-97304049,-	-	KANSL3	coding_mRNA	coding_mRNA	DHS_promoter	protein_coding	bin5:>2000nt	type4:at_least_4_exons	tier4_stringent	90451	57	coding	0.98808	ENCODE:FANTOM:GENCODE:HUBDMAP:MITRANS	5	chr2:97304009..97304074,-	23.4086576644362	45243	9881	no	no	no	no	annotation imputed from GENCODE geneType protein_coding	p1@KANSL3	62,7	12,3	6,14	9	16,1	22,7	7,708027719	1,554474685	TATA-less	CpG	KANSL3	chr2
1746	ENSG00000114988.7	chr2:97371666-97405801,-	-	LMAN2L	coding_mRNA	coding_mRNA	DHS_promoter	protein_coding	bin5:>2000nt	type4:at_least_4_exons	tier4_stringent	52771	15	coding	0.9856	ENCODE:FANTOM:GENCODE:MITRANS	4	chr2:97405775..97405816,-	8.545250028003089	34136	5504	no	no	no	no	annotation imputed from GENCODE geneType protein_coding	p1@LMAN2L	32,1	8,5	1,6	5,7	11,7	17,76	1,141954303	0,748716102	TATA-less	CpG	LMAN2L	chr2
1747	ENSG00000114999.7	chr2:113238820-113299316,+	+	TTL	coding_mRNA	coding_mRNA	DHS_promoter	protein_coding	bin5:>2000nt	type4:at_least_4_exons	tier4_stringent	103133	30	coding	0.95336	ENCODE:FANTOM:GENCODE:HUBDMAP:MITRANS	5	chr2:113239710..113239753,+	9.53052244341568	59584	14267	no	no	no	no	annotation imputed from GENCODE geneType protein_coding	p1@TTL	57,5	13,1	4,6	8,9	18,5	28,22	1,616846322	0,994842657	TATA-less	CpG	TTL	chr2
1748	ENSG00000115020.12	chr2:209130979-209224841,+	+	PIKFYVE	coding_mRNA	coding_mRNA	DHS_promoter	protein_coding	bin5:>2000nt	type4:at_least_4_exons	tier4_stringent	208514	75	coding	0.96936	ENCODE:FANTOM:GENCODE:HUBDMAP:MITRANS	5	chr2:209130965..209131031,+	44.670973488190896	92497	9913	no	no	no	no	annotation imputed from GENCODE geneType protein_coding	p1@PIKFYVE	249,1	29,4	9,54	18,2	45,8	85,36	8,724725639	2,275476068	TATA-less	CpG	PIKFYVE	chr2
1749	ENSG00000115042.5	chr2:96068456-96082364,+	+	FAHD2A	coding_mRNA	coding_mRNA	DHS_promoter	protein_coding	bin5:>2000nt	type4:at_least_4_exons	tier4_stringent	109730	6	coding	0.93104	FANTOM:GENCODE:HUBDMAP	3	chr2:96068436..96068518,+	8.56129321134453	13909	4775	no	no	no	no	annotation imputed from GENCODE geneType protein_coding	p1@FAHD2A	100,7	15,8	5,6	11,5	21,8	35,56	12,62300556	2,751597491	TATA-less	CpG	FAHD2A	chr2
1750	ENSG00000115073.6	chr2:98253922-98280405,-	-	ACTR1B	coding_mRNA	coding_mRNA	DHS_promoter	protein_coding	bin5:>2000nt	type4:at_least_4_exons	tier4_stringent	107948	18	coding	0.89207	ENCODE:FANTOM:GENCODE:HUBDMAP:MITRANS	5	chr2:98280383..98280514,-	10.289614146310301	19698	15558	no	no	no	no	annotation imputed from GENCODE geneType protein_coding	p1@ACTR1B	72,2	16,2	5,8	11,5	22,1	35,02	5,0155492	1,671975763	TATA-less	CpG	ACTR1B	chr2
1751	ENSG00000115091.7	chr2:114647177-114802677,+	+	ACTR3	coding_mRNA	coding_mRNA	DHS_promoter	protein_coding	bin5:>2000nt	type4:at_least_4_exons	tier4_stringent	1318626	18	uncertain	0.998	ENCODE:FANTOM:GENCODE	3	chr2:114647617..114647739,+	11.323258776760499	155141	6718	no	no	no	no	annotation imputed from GENCODE geneType protein_coding	p1@ACTR3	1563,9	194,5	47,88	109	307,5	568,62	11,50987809	2,728849491	TATA-less	CpG	ACTR3	chr2
1752	ENSG00000115128.6	chr2:24290452-24299334,-	-	SF3B14	coding_mRNA	coding_mRNA	DHS_promoter	protein_coding	bin3:500-1000nt	type4:at_least_4_exons	tier4_stringent	1101941	3	uncertain	0.99355	ENCODE:FANTOM:GENCODE	3	chr2:24299153..24299252,-	2.97678462018169	8881	791	no	no	no	no	annotation imputed from GENCODE geneType protein_coding	p1@SF3B14	865,6	172,1	73,92	116,3	232,2	313,82	6,095547536	1,48331293	TATA-less	CpG	SF3B14	chr2
1753	ENSG00000115145.5	chr2:152966108-153032506,-	-	STAM2	coding_mRNA	coding_mRNA	DHS_promoter	protein_coding	bin5:>2000nt	type4:at_least_4_exons	tier4_stringent	94027	16	coding	0.97998	ENCODE:FANTOM:GENCODE:HUBDMAP	4	chr2:153032229..153032295,-	14.316764409154999	66169	13154	no	no	no	no	annotation imputed from GENCODE geneType protein_coding	p1@STAM2	52,6	15,8	5,24	10,4	22,4	30,96	0,57518262	0,662131429	TATA-less	CpG	STAM2	chr2
1754	ENSG00000115159.11	chr2:157291802-157470247,+	+	GPD2	coding_mRNA	coding_mRNA	DHS_promoter	protein_coding	bin5:>2000nt	type4:at_least_4_exons	tier4_stringent	94724	43	coding	0.9121100000000001	ENCODE:FANTOM:GENCODE:HUBDMAP:MITRANS	5	chr2:157292859..157292909,+	20.8385656419978	175008	22538	no	no	no	no	annotation imputed from GENCODE geneType protein_coding	p1@GPD2	61,9	7,6	0,4	4,2	12,2	29,22	7,343584128	2,411522001	TATA-less	CpG-less	GPD2	chr2
1755	ENSG00000115163.10	chr2:26987189-27026244,+	+	CENPA	coding_mRNA	coding_mRNA	DHS_promoter	protein_coding	bin5:>2000nt	type4:at_least_4_exons	tier4_stringent	467211	10	coding	0.96916	ENCODE:FANTOM:GENCODE:HUBDMAP	4	chr2:26987111..26987210,+	9.14600009502856	36735	16514	no	no	no	no	annotation imputed from GENCODE geneType protein_coding	p1@C2orf18,p1@CENPA	371,1	42,3	13,24	28,5	61	111,86	13,98645417	2,776962764	TATA-less	CpG	CENPA	chr2
1756	ENSG00000213699.4	chr2:26987189-27008553,+	+	SLC35F6	coding_mRNA	coding_mRNA	DHS_promoter	protein_coding	bin5:>2000nt	type4:at_least_4_exons	tier4_stringent	266941	10	coding	0.96916	FANTOM:GENCODE:HUBDMAP	3	chr2:26987111..26987210,+	6.200047637166669	21365	8359	no	no	no	no	annotation imputed from GENCODE geneType protein_coding	p1@C2orf18,p1@CENPA	371,1	42,3	13,24	28,5	61	111,86	13,98645417	2,776962764	TATA-less	CpG	CENPA	chr2
